Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Decentralized Finance (DeFi): The Future of Finance Specialization,Business,Finance,"Cryptography, Smart Contract, Decentralized Protocols, governance, Blockchain Mechanics, Consensus mechanisms, digital signature, Address mechanics, Flash loans, Bonding curves, Set Protocol’s tokenization method, Mechanics of Compound and Aave,",4.8,1462.0,Coursera,,
Project Management & Other Tools for Career Development Specialization,Business,Business Essentials,"Project Management, Risk Management, Communication, Negotiation, Project, Planning, Project Planning, Change Control, Change Management, Email Writing, Proofreading, Writing,",4.7,5909.0,Coursera,,
Project Management Principles and Practices Specialization,Business,Business Essentials,"Schedule, Project Management, Risk Management, Budget, Project, Planning, Project Planning, Budget Estimation, Change Control, Change Management,",4.7,18565.0,Coursera,,
Java Programming and Software Engineering Fundamentals Specialization,Computer Science,Software Development,"HTML, JavaScript, Cascading Style Sheets (CSS), Java Programming, Html5, Algorithms, Problem Solving, String (Computer Science), Data Structure, Cryptography, Hash Table, Programming Principles,",4.6,13832.0,Coursera,,
MATLAB Programming for Engineers and Scientists Specialization,Computer Science,Software Development,"Matlab, Data Analysis, Object-Oriented Programming (OOP), Image Processing, Computer Programming, Problem Solving, Programming Language,",4.8,4284.0,Coursera,,
Design Thinking Specialization,Business,Leadership and Management,"Creativity, Strategic Thinking, Design Thinking, Innovation Management, Innovation,",4.8,6.0,Coursera,,
Architecting with Google Kubernetes Engine Specialization,Information Technology,Cloud Computing,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing,",4.7,6484.0,Coursera,,
Security in Google Cloud Specialization,Information Technology,Security,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing,",4.7,3827.0,Coursera,,
Leading People and Teams Specialization,Business,Leadership and Management,"Vision Alignment, Talent Management, Goals and Rewards, Motivate Employees, Leadership, goal setting, Communication, Leadership Development, Onboarding, Coaching, Recruitment, Management,",4.8,5865.0,Coursera,,
Coding for Everyone: C and C++ Specialization,Computer Science,Software Development,"Algorithms, C Programming, Coding, C++, Computer Programming, Graph Theory, C++11, Graph Algorithms, Standard Template Library,",4.4,2473.0,Coursera,,
Developing Applications with Google Cloud Specialization,Computer Science,Software Development,"Debugging, Google Cloud Platform, Cloud Storage, Application development, Cloud Computing, Google Compute Engine, Google App Engine (GAE), Data Store, Application Programming Interfaces (API), Cloud Functions, Identity Management (IDM), Cloud Endpoints,",4.7,7991.0,Coursera,,
Real-World Product Management Specialization,Computer Science,Design and Product,"PM Interviewing, Real-World Examples, Product Management, Real-World Assignments, Technology Leadership, Go-to-market Strategy, Product/Market Fit, Tech Leadership, B2B Sales, Monetization Strategy, A/B/n testing, Customer Retention,",4.5,665.0,Coursera,,
Pricing Strategy Optimization Specialization,Business,Marketing,"Cost-Based Pricing, Pricing Strategies, Market-Based Pricing, Customer Value-based Pricing, Strategic Management, Channel and Direct-to-Consumer Pricing, Price Discrimination, Price Elasticity Of Demand, Customer Willingness to Pay, Measuring Customer Preferences, Customer Psychology, Competitor Pricing Models,",4.8,719.0,Coursera,,
Networking in Google Cloud Specialization,Information Technology,Networking,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing,",4.8,4384.0,Coursera,,
